AAB	Abelag Aviation - Belgium	ABG
LSC	Los Cedros Aviación - Chile	CEDROS
LSK	Aurela - Lithuania	AURELA
LSP	Spectrum Aviation Incorporated - United Kingdom	AIR TONY
LSR	Alsair - France	ALSAIR
LSS	Lone Star Airlines - United States	LONE STAR
LSU	Laus - Croatia	LAUS AIR
LSY	Lindsay Aviation - United States	LINDSAY AIR
LTA	Trans Atlantis - Canada	LANTRA
LTD	Executive Express Aviation/JA Air Charter - United States	LIGHT SPEED
LTE	LTE International Airways - Spain	FUN JET
LTF	Lufttaxi Fluggesellschaft - Germany	Garfield
LTI	Aerotaxis Latinoamericanos - Mexico	LATINO
LTL	Benin Littoral Airways - Benin	LITTORAL
LTO	LTU Austria - Austria	BILLA TRANSPORT
LTR	Lufttransport - Norway	LUFT TRANSPORT
LTS	Flight Inspections and Systems - Russia	SPECAIR
LTU	LTU International - Germany	LTU
LTW	Luchtvaartmaatschappij Twente - Netherlands	TWENTAIR
LTY	Liberty Air - Netherlands	SKYDECK
LUC	Albinati Aeronautics - Switzerland	ALBINATI
LUK	LUKoil-Avia - Russia	LUKOIL
LUT	Luft Carago - South Africa	LUGO
LUV	Luxembourg Air Rescue - Luxembourg	LUX RESCUE
LUZ	Luzair - Portugal	LISBON JET
LVB	IRS Airlines - Nigeria	SILVERBIRD
LVD	Luftfahrt-Vermietungs-Dienst - Austria	AIR SANTE
LVG	Livingston - Italy	LIVINGSTON
LVN	Aliven - Italy	ALIVEN
LVR	Aviavilsa - Lithuania	AVIAVILSA
LVT	La Valenciana Taxi Aéreo - Mexico	TAXIVALENCIANA
LWA	Libyan Wings - Libya	LIBYAN WINGS
LWD	Leisure Air - United States	LEISURE WORLD
LWL	Lowlevel - Portugal	CUB DRIVER
LXA	Luxaviation - Luxembourg	RED LION
LXF	Lynx Air International - United States	LYNX FLIGHT
LXG	Air Luxor GB - Guinea-Bissau	LUXOR GOLF
LXJ	Bombardier Business Jet Solutions - United States	FLEXJET
LXP	LAN Express - Chile	LANEX
LYB	Lynden Air Cargo - Papua New Guinea	HIGHLANDS
LYD	Lydd Air - United Kingdom	LYDDAIR
LYF	Lithuanian Air Force - Lithuania	LITHUANIAN AIRFORCE
LYH	Yankee Lima Helicopteres - France	HELIGUYANE
LYM	Key Lime Air - United States	KEY LIME
LYT	Apatas Air - Lithuania	APATAS
LYW	Libyan Airlines - Libya	LIBYAN AIRWAYS
LYX	Lynx Aviation - Pakistan	LYNX AIR
LZA	Lanza Air - Spain	AEROLANZA
LZB	Bulgaria Air - Bulgaria	FLYING BULGARIA
LZF	Lease Fly - Portugal	SKYLEASE
LZP	Air Ban - Bulgaria	DOC AIR
LZR	Air Lazur - Bulgaria	LAZUR BEE-GEE
LZT	Lanzarote Aerocargo - Spain	BARAKA
MAA	MasAir - Mexico	MAS CARGA
MAB	Millardair - Canada	MILLARDAIR
MAC	Air Arabia Maroc - Morocco	ARABIA MAROC
MAD	Maple Air Services - Canada	MAPLE AIR
MAE	Mali Air - Austria	MALI AIREXPRESS
MAF	Mission Aviation Fellowship - Indonesia	MISSI
MAH	Malév Hungarian Airlines - Hungary	MALEV
MAI	Max Avia - Kyrgyzstan	MAX AVIA
MAJ	Majestic Airlines - United States	MAGIC AIR
MAK	MAT Macedonian Airlines - Macedonia	MAKAVIO
MAL	Morningstar Air Express - Canada	MORNINGSTAR
MAM	Aeródromo De La Mancha - Spain	AEROMAN
MAN	Mannion Air Charter - United States	MANNION
MAQ	Mac Aviation - Spain	MAC AVIATION
MAR	March Helicopters - United Kingdom	MARCH
MAS	Malaysia Airlines - Malaysia	MALAYSIAN
MAT	Maine Aviation - United States	MAINE-AV
MAU	Air Mauritius - Mauritius	AIRMAURITIUS
MAV	Minoan Air - Greece	MINOAN
MAW	Mustique Airways - Barbados	MUSTIQUE
MAX	Max-Aviation - Canada	MAX AVIATION
MAZ	Mines Air Services Zambia - Zambia	MINES
MBA	Avag Air - Austria	AVAG AIR
MBB	Air Manas - Kyrgyzstan	AIR MANAS
MBC	Airjet Explora??o Aérea De Carga - Angola	MABECO
MBE	Martin-Baker - United Kingdom	MARTIN
MBG	Zephyr Aviation - United Kingdom	CHALGROVE
MBI	Mountain Bird - United States	MOUNTAIN BIRD
MBL	First City Air - United Kingdom	FIRST CITY
MBN	Zambian Airways - Zambia	ZAMBIANA
MBO	Mobil Oil - Canada	MOBIL
MBR	Brazilian Navy Aviation - Brazil	BRAZILIAN NAVY
MBS	Mbach Air - Malawi	MBACHI AIR
MCB	Air Mercia - United Kingdom	WESTMID
MCC	MCC Aviation - South Africa	DISCOVERY
MCD	Air Medical - United Kingdom	AIR MED
MCE	Marshall Aerospace - United Kingdom	MARSHALL
MCF	MAC Fotografica - Spain	MAC FOTO
MCG	SOS Helikoptern Gotland - Sweden	MEDICOPTER
MCH	McAlpine Helicopters - United Kingdom	MACLINE
MCL	Medical Aviation Services - United Kingdom	MEDIC
MCM	Heli-Air-Monaco - Monaco	HELI AIR
MCN	Mac Dan Aviation Corporation - United States	MAC DAN
MCO	Aerolíneas Marcos - Mexico	MARCOS
MCP	Marcopolo Airways - Afghanistan	MARCOPOLO
MCS	Macedonian Airlines - Greece	MACAIR
MCT	Transportación Aérea Del Mar De Cortés - Mexico	TRANS CORTES
MCV	MTC Aviación - Mexico	MTC AVIACION
MCX	Cargo Express - Mauritania	MAURICARGO
MCY	Ambulance Air Africa - South Africa	MERCY
MDA	Mandarin Airlines - Taiwan	MANDARIN
MDB	Monde Air Charters - United Kingdom	MONDEAIR CARGO
MDC	Atlantic Aero and Mid-Atlantic Freight - United States	NIGHT SHIP
MDE	Mauritanienne De Transport Aerien - Mauritania	MAURI-TRANS
MDF	Mediterranean Air Freight - Greece	MED-FREIGHT
MDG	Air Madagascar - Madagascar	AIR MADAGASCAR
MDH	Madina Air - Libya	MADINA AIR
MDJ	Jetran Air - Romania	JETRAN AIR
MDL	Mandala Airlines - Indonesia	MANDALA
MDM	Medavia - Malta	MEDAVIA
MDR	Compania Mexicana De Aeroplanos - Mexico	AEROPLANOS
MDS	McNeely Charter Services - United States	MID-SOUTH
MDT	Sundt Air - Norway	MIDNIGHT
MDV	Moldavian Airlines - Moldova	MOLDAVIAN
MDX	Aerosud Charter - South Africa	MEDAIR
MEA	Middle East Airlines - Lebanon	CEDAR JET
MEC	Mercury Aircourier Service - United States	MERCAIR
MED	Ontario Ministry of Health - Canada	MEDICAL
MEE	Elimediterranea - Italy	ELIMEDITERRANEA
MEF	Air Meridan - Nigeria	EMPENNAGE
MEI	Merlin Airways - United States	AVALON
MEJ	Medjet International - United States	MEDJET
MEK	Med-Trans of Florida - United States	MED-TRANS
MEL	Mega Linhas Aéreas - Brazil	MEGA AIR
MEM	Meridian Limited - Ukraine	MERIDIAN CHERRY
MEP	Midwest Airlines - United States	MIDEX
MER	Methow Aviation - United States	METHOW
MES	Mesaba Airlines - United States	MESABA
MET	Meteorological Research Flight - United Kingdom	METMAN
MEX	Metro Express - United States	EAGLE EXPRESS
MEY	Justair Scandinavia - Sweden	MELODY
MFA	Martyn Fiddler Associates - United Kingdom	SEAHORSE
MFB	Mountain Flyers 80 - Switzerland	MOUNTAINHELI
MFC	Moncton Flying Club - Canada	EAST WIND
MFL	Aero McFly - Mexico	MCFLY
MFR	Midline Air Freight - United States	MIDLINE FREIGHT
MFS	Miller Flying Services - United States	MILLER TIME
MFZ	Mofaz Air - Malaysia	MOFAZ AIR
MGA	MG Aviación - Spain	MAG AVACION
MGB	Coulson Flying Service - United Kingdom	MOCKINGBIRD
MGE	Asia Pacific Airlines - United States	MAGELLAN
MGG	Elmagal Aviation Services - Sudan	ELMAGAL
MGI	Marghi Air - Nigeria	MARGHI
MGK	Mega - Kazakhstan	MEGLA
MGL	MIAT Mongolian Airlines - Mongolia	MONGOL AIR
MGM	Transporte Aero MGM - Mexico	AERO EMM-GEE-EMM
MGO	Punto Fa - Spain	MANGO
MGR	Magna Air - Austria	MAGNA AIR
MGS	Aeromagar - Mexico	AEROMAGAR
MGX	Montenegro Airlines - Montenegro	MONTENEGRO
MHA	Mountain High Aviation - United States	MOUNTAIN HIGH
MHC	Aero Jomacha - Mexico	AERO JOMACHA
MHD	Yas Air Kish - Iran	YAS AIR
MHF	Maritime Helicopters - United States	AIR MARITIME
MHL	Meridian Airlines - Nigeria	HASSIMAIR
MHN	Manhattan Air - United Kingdom	MANHATTAN
MHQ	Skargardshavets Helikoptertjanst - Finland	HELICARE
MHS	Air Memphis - Egypt	AIR MEMPHIS
MIA	Mauria - Mauritania	MAURIA
MIC	Mint Airways - Spain	MINT AIRWAYS
MIE	Aero Premier De Mexico - Mexico	AEROPREMIER
MIF	Miras - Kazakhstan	MIRAS
MIG	Russian Aircraft Corporation-MiG - Russia	MIG AVIA
MIM	Mimino - Russia	MIMINO
MIR	Miramichi Air Service - Canada	MIRAMICHI
MIS	Midstate Airlines - United States	MIDSTATE
MIZ	Desarrollo Milaz - Mexico	MILAZ
MJB	Magic Blue Airlines - Netherlands	MAGIC BLUE
MJC	Mandarin Air - Taiwan,China	AIR MANDA
MJL	Jet Line International - Moldova	MOLDJET
MJM	Eti 2000 - Italy	ELCO ETI
MJN	Royal Air Force of Oman - Oman	MAJAN
MJR	Midamerica Jet - United States	MAJOR
MJT	Mex-Jet - Mexico	MEJETS
MKA	MK Airline - Ghana	KRUGER-AIR
MKH	Air Marrakech Service - Morocco	AIR MARRAKECH
MKK	Malaya Aviatsia Dona - Russia	AEROKEY
MKL	McCall Aviation - United States	MCCALL
MKO	Markoss Aviation - United Kingdom	GOSHAWK
MKS	Pimichikamac Air - Canada	MIKISEW
MKY	Monky Aerotaxis - Mexico	MONKY
MLA	40-Mile Air - United States	MILE-AIR
MLB	Manaf International Airways - Burundi	MANAF
MLC	Malila Airlift - Democratic Republic of the Congo	MALILA
MLD	Air Moldova - Moldova	AIR MOLDOVA
MLE	Moldaeroservice - Moldova	MOLDAERO
MLF	Amal Airlines - Djibouti	AMAL
MLH	Mahalo Air - United States	MAHALO
MLK	Millennium Air - Nigeria	NIGERJET
MLL	Aeroclub de Mallorca - Spain	MALLORCA
MLN	Air Madeleine - Canada	AIR MADELEINE
MLO	Servicios Aéreos Milenio - Mexico	MILENIO
MLR	Mihin Lanka - Sri Lanka	MIHIN LANKA
MLS	Mall Airways - United States	MALL-AIRWAYS
MLU	Zracno Pristaniste Mali Losinj - Croatia	MALI LOSINJ
MLV	Multiservicios Aereos Del Valle - Mexico	MULTI VALLE
MLX	Malawi Express - Malawi	MALAWI EXPRESS
MMA	Myanmar Airways International - Myanmar	MYANMAR
MMC	Aermarche - Italy	AERMARCHE
MMD	Air Alsie - Denmark	MERMAID
MMG	Aereo Ruta Maya - Guatemala	RUTA MAYA
MMH	McMahon Helicopter - United States	NIGHT RIDER
MMJ	Macau Jet International - Macau,China	MACAUJET
MML	Hunnu Air - Mongolia	TRANS MONGOLIA
MMM	Aviation Company Meridian - Russia	AVIAMERIDIAN
MMP	AMP Incorporated - United States	AMP-INC
MMR	Musrata Air Transport - Libya	MUSRATA AIR
MMS	SAAD (A320) Limited - Cayman Islands	MUSAAD AIR
MMX	Airmax - Peru	PERUMAX
MMZ	EuroAtlantic Airways - Portugal	EUROATLANTIC
MNA	Merpati Nusantara Airlines - Indonesia	MERPATI
MNB	MNG Airlines - Turkey	BLACK SEA
MNC	MIT Airlines - Canada	MUNCIE
MNE	Aerolíneas Amanecer - Mexico	AEROAMANECER
MNG	Aero Mongolia - Mongolia	AERO MONGOLIA
MNI	Aeromilenio - Mexico	AEROMIL
MNJ	Menajet - Lebanon	MENAJET
MNL	Miniliner - Italy	MINILINER
MNO	Mango - South Africa	TULCA
MNR	Mann Air - United Kingdom	TEEMOL
MNS	Ministic Air - Canada	MINISTIC
MNT	Montserrat Airways - Montserrat	MONTSERRAT
MNU	Elite Airways - United States	MAINER
MNV	Mauritanienne Aerienne Et Navale - Mauritania	NAVALE
MNX	Manx Airlines - United Kingdom	MANX
MNY	Mooney Aircraft Corporation - United States	MOONEY FLIGHT
MNZ	Murmansk Aircompany - Russia	MURMAN AIR
MOC	Air Monarch Cargo - Mexico	MONARCH CARGO
MOH	Tigerfly - United Kingdom	MOTH
MON	Monarch Airlines - United Kingdom	MONARCH
MOP	Aeropublicitaria De Angola - Angola	PUBLICITARIA
MOR	Aerolíneas De Morelia - Mexico	AEROMORELIA
MOV	VIM Airlines - Russia	MOV AIR
MOW	Mohawk Airlines - United States	MOHAWK AIR
MPA	Mid-Pacific Airlines - United States	MID PAC
MPC	Mountain Pacific Air - Canada	MOUNTAIN PACIFIC
MPD	Air Plus Comet - Spain	RED COMET
MPE	Canadian North - Canada	EMPRESS
MPH	Martinair - Netherlands	MARTINAIR
MPI	Mosphil Aero - Philippines	MOSPHIL
MPJ	MAP-Management and Planung - Austria	MAPJET
MPO	Transportes Aéreos Amparo - Mexico	AMPARO
MPS	Metroplis - Netherlands	METRO REGIONAL
MPT	Miapet-Avia - Armenia	MIAPET
MPX	Aeromexpress - Mexico	AEROMEXPRESS
MQT	Air ITM - France	MUSKETEER
MRA	Martinaire - United States	MARTEX
MRD	Meridian Air Cargo - United States	MERIDIAN
MRE	Namibia Commercial Aviation - Namibia	MED RESCUE
MRF	Mauritanienne Air Fret - Mauritania	MAUR-FRET
MRG	MANAG'AIR - France	MANAG'AIR
MRH	RAF Marham - United Kingdom	MARHAM
MRI	Servicios Aéreos Moritani - Mexico	MORITANI
MRK	Markair - United States	MARKAIR
MRL	Aeromorelos - Mexico	AEROMORELOS
MRM	Aerocharter - Canada	MARITIME
MRN	Missions Gouvernemtales Francaises - France	MARIANNE
MRO	Morrison Flying Service - United States	MORRISON
MRP	Abas - Czech Republic	ABAS
MRR	San Juan Airlines - United States	MARINER
MRT	Air Mauritanie - Mauritania	MIKE ROMEO
MRW	Mars RK - Ukraine	AVIAMARS
MRX	Herman's Markair Express - United States	SPEEDMARK
MRY	Air Marine - France	AIR MARINE
MRZ	Medical Air Rescue Services - Zimbabwe	MARS
MSA	Muse Airline - Muse/缪斯 / Mistral Air - Italy	AIRMERCI
MSF	Max Sea Food - El Salvador	MAXESA
MSF	Minsheng International Jet - China	MEINSHENG/民生
MSG	Servico Aéreo Regional - Mozambique	SAR-REGIONAL
MSH	US Marshals Service - United States	MARSHALAIR
MSI	Motor Sich - Ukraine	MOTOR SICH
MSJ	Magnum Air - Philippines	MAGNUM AIR
MSK	Air Sport - Bulgaria	AIR SPORT
MSL	Marsland Aviation - Sudan	MARSLANDAIR
MSM	Aeromas - Uruguay	AEROMAS EXPRESS
MSN	Missionair - Spain	MISIONAIR
MSO	Aerolíneas Mesoamericanas - Mexico	MESO AMERICANAS
MSP	Servicio De Vigilancia Aérea Del Ministerio De Seguridad Pública - Costa Rica	SEGURIDAD
MSQ	Meta Linhas Aéreas - Brazil	META
MSR	Egyptair - Egypt	EGYPTAIR
MSS	Morris Air Service - United States	WASATCH
MSV	Aero-Kamov - Russia	AERAFKAM
MSW	Master Airways - Serbia	MASTER AIRWAYS
MSX	Egyptair Cargo - Egypt	EGYPTAIR CARGO
MSY	Massey University School of Aviation - New Zealand	MASSEY
MTA	GAK/Mitchell Aero - United States	GAK AVIATION
MTB	Aerotaxis Metropolitanos - Mexico	AEROMETROPOLIS
MTC	Mountain Air Company - Sierra Leone	MOUNTAIN LEONE
MTF	Interjet - Italy	INTERJET
MTH	Massachusetts Institute of Technology - United States	RESEARCH
MTI	Monerrey Air Taxi - Mexico	MONTERREY AIR
MTJ	Metrojet - Hong Kong	METROJET
MTK	Air Metack - Angola	AIRMETACK
MTL	RAF-Avia - Latvia	MITAVIA
MTN	Mountain Air Cargo - United States	MOUNTAIN
MTO	Manitoulin Air Services - Canada	MANITOULIN
MTP	Island Helicopters - United States	METROCOPTER
MTR	Metroflight - United States	METRO
MTS	Mantrust Asahi Airways - Indonesia	MANTRUST
MTV	Mountain Valley Air Service - United States	MOUNTAIN VALLEY
MTX	Multi Taxi - Mexico	MULTITAXI
MTZ	Mali Airways - Mali	MALI AIRWAYS
MUA	Murray Air - United States	MURRAY AIR
MUI	Trans Air - United States	MAUI
MUL	Mokulele Airlines - United States	MUKULELE
MUN	Aeromundo Ejecutivo - Mexico	AEROMUNDO
MUR	Aerolínea Muri - Mexico	MURI
MVA	Mississippi Valley Airways - United States	VALAIR
MVD	Kavminvodyavia - Russia	AIR MINVODY
MVG	Moldova - Moldova	MOLDOVA-STATE
MVK	Helicopter Training & Hire - United Kingdom	MAVRIK
MVL	Mavial Magadan Airlines - Russia	Mavial
MVM	Air Cargo America - United States	PEGASUS
MVN	Marvin Limited - United Kingdom	MARVIN
MVR	Maverick Airways - United States	MAV-AIR
MWG	MASwings - Malaysia	MASWINGS
MWI	Malawian Airlines 2014 - Malawi	MALAWIAN
MWM	Modern Transporte Aereo De Carga - Brazil	MODERNAIR
MWR	Raslan Air Service - Egypt	RASLAN
MWS	Malta Wings - Malta	MALTA WINGS
MWT	Midwest Aviation Division - United States	MIDWEST
MWY	Mauritanienne Airways - Mauritania	MAURITANIENNE
MXA	Mexicana de Aviación - Mexico	MEXICANA
MXB	Mex Blue - Mexico	MEX BLUE
MXC	Compania Mexicargo - Mexico	MEXICARGO
MXD	Malindo Airways - Malaysia	MALINDO EXPRESS
MXE	Mocambique Expresso - Mozambique	MOZAMBIQUE EXPRESS
MXF	Maximum Flight Advantages - United States	MAXFLIGHT
MXL	Maxair - Sweden	MAXAIR
MXO	Aerotaxi Mexicano - Mexico	MAXAERO
MXP	May Air Xpress - United States	BEECHNUT
MXQ	Transportes Aéreos Mexiquenses - Mexico	MEXIQUENSES
MXS	Maxsus-Avia - Uzbekistan	MAXSUS-AVIA
MXS	Millon Express - United States	MILLON EXPRESS
MXT	México Transportes Aéreos - Mexico	TRANSMEX
MXU	Maximus Air Cargo - United Arab Emirates	CARGO MAX
MXX	Merchant Express Aviation - Nigeria	MERCHANT
MYA	Myflug - Iceland	MYFLUG
MYD	Maya Island Air - Belize	MYLAND
MYI	Mayair - Mexico	MAYAIR
MYO	Dominguez Toledo?(Grupo Mayoral) - Spain	MAYORAL
MYP	Mann Yadanarpon Airlines - Myanmar	MANN ROYAL
MYS	Aero Yaqui Mayo - Mexico	AERO YAQUI
MYW	My Way Airlines - Italy	FRANKY
MYX	Smartlynx Airlines Estonia - Estonia	TALLINN CAT
MZA	Irtysh Air - Kazakhstan	IRTYSH AIRLINES
MZL	Aerovías Montes Azules - Mexico	MONTES AZULES
MZS	Mahfooz Aviation - Gambia	MAHFOOZ
MZT	ZYB Lity Jet - China	ZHONG TAI/中太
NAA	National Oceanic and Atmospheric Administration - United States	NOAA
NAC	Northern Air Cargo - United States	YUKON
NAD	Seulawah Nad Air - Indonesia	SEULAWAH
NAE	Nations Air Express Inc - United States	NATIONS EXPRESS
NAF	Royal Netherlands Air Force - Netherlands	NETHERLANDS AIR FORCE
NAH	Nahanni Air Services Ltd - Canada	NAHANNI
NAI	North Adria Aviation - Croatia	NORTH-ADRIA
NAJ	North American Jet Charter Group - United States	JET GROUP
NAL	Northway Aviation Ltd - Canada	NORTHWAY
NAM	Nortland Air Manitoba - Canada	MANITOBA
NAO	North American Airlines - United States	NORTH AMERICAN
NAP	Napier Air Service Inc - United States	NAPIER
NAR	Air Continental Inc - United States	NIGHT AIR
NAS	Nasair - Eritrea	NASAIRWAYS
NAT	North Atlantic Air Inc - United States	MASS AIR
NAU	Antanik-Air - Ukraine	ANTANIK
NAU	Danaus Lineas Aereas - Mexico	DANAUS
NAV	Nav Flight Planning - Czech Republic	NAV DISPATCH
NAX	Norwegian Air Shuttle - Norway	NOR SHUTTLE
NAY	Navegación Servicios Aéreos Canarios S.A. - Spain	NAYSA
NAZ	Servicios Aéreos del Nazas S.A. de C.V. - Mexico	NAZAS
NBE	Novosibirsk Aviaenterprise - Russia	NAKAIR
NBK	Albarka Air - Nigeria	AL-AIR
NBL	Nobil Air - Moldova	NOBIL AIR
NBN	North British Airlines - United Kingdom	TEESAIR
NBR	Haughey Air - United Kingdom	NORBROOK
NBS	Nimbus Aviation - United Kingdom	NIMBUS
NCA	Nippon Cargo Airlines - Japan	NIPPON CARGO
NCB	North Caribou Flying Service Ltd - Canada	NORTH CARIBOU
NCC	North Coast Air Services Ltd - Canada	NORTH COAST
NCE	Northcoast Executive Airlines - United States	TOP HAT
NCF	Norfolk County Flight College - United Kingdom	COUNTY
NCG	Nederlandse Kustwacht - Netherlands	NETHERLANDS COASTGUARD
NCH	Chanchangi Airlines - Nigeria	CHANCHANGI
NCL	ACA-Ancargo Air Sociedade de Transporte de Carga Lda - Angola	ANCARGO AIR
NCM	Nas Air - Angola	AIR BANE
NCN	Nicon Airways - Nigeria	NICON AIRWAYS
NCO	Natalco Air Lines - S?o Tomé and Príncipe	NATALCO
NCP	Capital Airlines Limited - Nigeria	CAPITAL SHUTTLE
NCR	National Air Cargo dba National Airlines - United States	NATIONAL CARGO
NCS	Simpson Air Ltd - Canada	COMMUTER-CANADA
NCT	Pete Air - Thailand	PETE AIR
NDA	Northern Airways - United States	NORTHERN DAKOTA
NDC	FlyNordic - Sweden	NORDIC
NDF	Namibian Defence Force - Namibia	NAMIBIAN AIR FORCE
NDU	University of North Dakota - United States	SIOUX
NEA	New England Airlines - United States	NEW ENGLAND
NEB	State of Nebraska - United States	NEBRASKA
NEC	Necon Air - Nepal	NECON AIR
NEE	Northeast Airlines - United States	NORTHEAST
NEF	Nord-Flyg - Sweden	NORDEX
NEG	Línea Aérea de Fumig Aguas Negras - Chile	AGUAS NEGRAS
NEJ	Netjets Business Aviation - China	NET BUSINESS/利捷
NEL	Aero Servicios de Nuevo Laredo - Mexico	AEROLAREDO
NEN	North-East Airlines - Nigeria	NORTHEAST SWAN
NER	Air Newark - United States	NEWAIR
NES	Nordeste Linhas Aéreas Regionais - Brazil	NORDESTE
NET	Network Aviation Services - Nigeria	NETWORK
NEW	Northeastern Aviation - United States	MEADOW FLIGHT
NEX	Northern Executive Aviation - United Kingdom	NEATAX
NEZ	New England Air Express - United States	ENGAIR
NFA	North Flying - Denmark	NORTH FLYING
NFC	North Atlantic Cargo - Norway	NORTH ATLANTIC
NFL	Northaire Freight Lines - United States	GREAT LAKES
NFT	Nefteyugansk Aviation Division - Russia	NEFTEAVIA
NGA	Nigeria Airways - Nigeria	NIGERIA
NGC	Angoservice - Angola	ANGOSERVICE
NGF	Air Charity Network - United States	ANGEL FLIGHT
NGK	Oriental Air Bridge - Japan	ORIENTAL BRIDGE
NGO	Air-Angol - Angola	AIR ANGOL
NGR	Nigerian Air Force - Nigeria	NIGERIAN AIRFORCE
NGV	Angoavia - Angola	ANGOAVIA
NGX	Nigerian Global - Nigeria	AIR GLOBAL
NHC	Northern Helicopter - Germany	NORTHERN
NHG	NHT Linhas Aéreas - Brazil	HELGA
NHK	Federal Aviation Administration - United States	NIGHTHAWK
NHL	Northumbria Helicopters - United Kingdom	NORTHUMBRIA
NHR	Nuevo Horizonte Internacional - Mexico	NUEVO HORIZONTE
NHT	New Heights 291 - South Africa	NEWHEIGHTS
NHZ	Nada Air Service - Chad	NADA AIR
NIC	Northern Illinois Commuter - United States	ILLINOIS COMMUTER
NID	Aeroni - Mexico	AERONI
NIE	Aeroejecutiva Nieto - Mexico	AERONIETO
NIG	Aero Contractors - Nigeria	AEROLINE
NIH	NAM Air - Indonesia	NAM
NIN	Niger Airlines - Niger	NIGER AIRLINES
NIN	Nurman Avia Indopura - Indonesia	NURVINDO
NIR	Norsk Flytjeneste - Norway	NORSEMAN
NIS	Nicaragüense de Aviación - Nicaragua	NICA
NJA	New Japan Aviation - Japan	SHIN NIHON
NJC	Nashville Jet Charters - United States	NASHVILLE JET
NJS	National Jet Systems - Australia	NATIONAL JET
NKF	Barents AirLink - Sweden	NORDFLIGHT
NKL	Nakheel Aviation - United Arab Emirates	NAKHEEL
NKP	Abakan Air - Russian Federation	ABAKAN AIR
NKS	Spirit Airlines - United States	SPIRIT WINGS
NKV	Nikolaev-Air - Ukraine	AIR NIKOLAEV
NKY	Aeromonkey - Mexico	AEROMON
NKZ	Aerokuzbass - Russia	NOVOKUZNETSK
NLA	Neiltown Air - Canada	NEILTOWN AIR
NLC	Nelair Charters - South Africa	NELAIR
NLG	NEL Cargo - Ivory Coast	NELCARGO
NLH	Norwegian Long Haul - Norway	NORSTAR
NLK	Elbrus-Avia?Air Enterprise - Russia	ELAVIA
NLL	Northafrican Air Transport - Libya	NORTHAFRICAN AIR
NLS	Nationale Luchtvaartschool - Netherlands	PANDER
NLT	Newfoundland Labrador Air Transport - Canada	NALAIR
NLW	Nile Wings Aviation Services - Sudan	NILE WINGS
NLY	Niki - Austria	FLYNIKI
NMB	Air Namibia - Namibia	NAMIBIA
NMG	Genghis Khan Airlines - China	TIANJIAO AIR/牧歌
NMI	Pacific Wings - United States	TSUNAMI
NML	Gambia New Millennium Air - Gambia	NEWMILL
NOA	Norontair - Canada	NORONTAIR
NOF	Fonnafly - Norway	FONNA
NOH	No. 32 (The Royal) Squadron - United Kingdom	NORTHOLT
NOK	Nok Air - Thailand	NOK AIR
NOL	National Overseas Airlines Company - Egypt	NAT AIRLINE
NON	Servicios Aéreos Latinoamericanos - Mexico	SERVICIOS LATINO
NOR	Norsk Helikopter - Norway	NORSKE
NOS	Neos - Italy	MOONFLOWER
NOT	Línea Aérea Costa Norte - Chile	COSTA NORTE
NOV	Nova Airline - Sudan	NOVANILE
NOW	Royal Norwegian Air Force - Norway	NORWEGIAN
NOY	Noy Aviation - Israel	NOY AVIATION
NPC	Western Air Couriers - United States	NORPAC
NPO	Novosibirsk Aviation Production Association - Russia	NOVSIB
NPX	Northeast Aviation - United States	NORTHEAST EXPRESS
NRC	North Sea Airways - Netherlands	NORTH SEA
NRD	Nordic Regional - Sweden	NORTH RIDER
NRE	Aviones Are - Mexico	AVIONES ARE
NRG	Ross Aviation - United States	ENERGY
NRK	Naturelink Charter - South Africa	NATURELINK
NRL	Nolinor Aviation - Canada	NOLINOR
NRN	Royal Netherland Navy - Netherlands	NETHERLANDS NAVY
NRP	Aeronord-Grup - Moldova	AERONORD
NRR	Natureair - Costa Rica	NATUREAIR
NRS	Atlantic Richfield Company - United States	NORTH SLOPE
NRT	Norestair - Spain	NORESTAIR
NRV	North Vancouver Airlines - Canada	NORVAN
NRW	Polizeifliegerstaffel Nordrhein-Westfalen - Germany	HUMMEL
NRX	Norse Air Charter - South Africa	NORSE AIR
NRZ	Servicios Aéreos Monarrez - Mexico	MONARREZ
NSA	Nile Safaris Aviation - Sudan	NILE SAFARIS
NSC	Societe De Transport Aerien De Mauritanie - Mauritania	TRANS-SOCIETE
NSE	SATENA - Colombia	SATENA
NSF	Northamptonshire School of Flying - United Kingdom	NORTON
NSJ	Nanshan Jet - China	NAN SHAN/南山
NSK	Nijigasaki Airline - Niji/虹咲 / Air Intersalonika - Greece	INTERSALONIKA
NSL	Neric - United Kingdom	NERICAIR
NSM	Global Jet Corporation - United States	THUNDERCLOUD
NSO	Aerolíneas Sosa - Honduras	SOSA
NSP	Novosibirsk Aircraft Repairing Plant - Russia	NARPAIR
NSR	National Air Charter - Indonesia	NASAIR
NSR	Nine Star Airways - Thailand	AIR STAR
NSS	Northstar Aviation - United States	NORTHSTAR
NTA	Northern Thunderbird Air - Canada	THUNDERBIRD
NTB	Servicios Aéreos Del Norte - Mexico	SERVINORTE
NTC	Gibson Aviation - United States	NIGHT CHASE
NTE	Interaire - Mexico	INTERMEX
NTG	Servicios Integrales De Aviación - Mexico	INTEGRALES
NTH	Hokkaido Air System - Japan	NORTH AIR
NTJ	NextJet - Sweden	NEXTJET
NTK	National Air Traffic Controllers Association - United States	NATCA
NTR	TNT International Aviation - United Kingdom	NITRO
